id,k,v,type
54315452.0,power,tower,tag
54315453.0,power,tower,tag
54315455.0,power,tower,tag
54315457.0,power,tower,tag
54315458.0,power,tower,tag
54315459.0,power,tower,tag
54315461.0,power,tower,tag
54315463.0,power,tower,tag
54315465.0,power,tower,tag
54315467.0,power,tower,tag
54315469.0,power,tower,tag
54315471.0,power,tower,tag
54315472.0,power,tower,tag
54315473.0,power,tower,tag
54315474.0,power,tower,tag
54315476.0,power,tower,tag
54315478.0,power,tower,tag
54315479.0,power,tower,tag
54315481.0,power,tower,tag
54315483.0,power,tower,tag
54315484.0,power,tower,tag
54315485.0,power,tower,tag
54315488.0,power,tower,tag
54315489.0,power,tower,tag
54315490.0,power,tower,tag
54315491.0,power,tower,tag
54315494.0,power,tower,tag
54315495.0,power,tower,tag
54315497.0,power,tower,tag
54315499.0,power,tower,tag
54315502.0,power,tower,tag
54315503.0,power,tower,tag
54315504.0,power,tower,tag
54315507.0,power,tower,tag
54315508.0,power,tower,tag
54315510.0,power,tower,tag
54315511.0,power,tower,tag
54315513.0,power,tower,tag
54315515.0,power,tower,tag
54315516.0,power,tower,tag
54315518.0,power,tower,tag
54315520.0,power,tower,tag
54315521.0,power,tower,tag
54315523.0,power,tower,tag
54315526.0,power,tower,tag
54315529.0,power,tower,tag
54315530.0,power,tower,tag
54315531.0,power,tower,tag
54315533.0,power,tower,tag
54315534.0,power,tower,tag
54315536.0,power,tower,tag
54315538.0,power,tower,tag
54315540.0,power,tower,tag
54315541.0,power,tower,tag
137032663.0,highway,turning_circle,tag
137032684.0,highway,turning_circle,tag
137037152.0,power,tower,tag
137037158.0,power,tower,tag
137048156.0,power,tower,tag
137048157.0,power,tower,tag
137048159.0,power,tower,tag
137058740.0,power,tower,tag
137058741.0,power,tower,tag
137058742.0,power,tower,tag
137058744.0,power,tower,tag
137058751.0,power,tower,tag
137058754.0,power,tower,tag
137058757.0,power,tower,tag
137058759.0,power,tower,tag
137068196.0,highway,motorway_junction,tag
137068196.0,old_ref,56B,tag
137068196.0,ref,17B,tag
137068199.0,highway,motorway_junction,tag
137068199.0,old_ref,56A,tag
137068199.0,ref,17A,tag
137074487.0,highway,motorway_junction,tag
137074487.0,old_ref,1,tag
137074487.0,ref,3A,tag
137074515.0,highway,crossing,tag
137081253.0,power,tower,tag
137081256.0,power,tower,tag
137081259.0,power,tower,tag
137081261.0,power,tower,tag
137081263.0,power,tower,tag
137081267.0,power,tower,tag
137081270.0,power,tower,tag
137081273.0,power,tower,tag
137081276.0,power,tower,tag
137081280.0,power,tower,tag
137081284.0,power,tower,tag
137081290.0,power,tower,tag
137081293.0,power,tower,tag
137081300.0,power,tower,tag
137081303.0,power,tower,tag
137081306.0,power,tower,tag
137081308.0,power,tower,tag
137081309.0,power,tower,tag
137081311.0,power,tower,tag
137081313.0,power,tower,tag
137081315.0,power,tower,tag
137084259.0,power,tower,tag
137084263.0,power,tower,tag
137084269.0,power,tower,tag
137084278.0,power,tower,tag
137084280.0,power,tower,tag
137084281.0,power,tower,tag
137084282.0,power,tower,tag
137084288.0,power,tower,tag
137084290.0,power,tower,tag
137084293.0,power,tower,tag
137084296.0,power,tower,tag
137084306.0,power,tower,tag
137090049.0,highway,traffic_signals,tag
137091449.0,highway,motorway_junction,tag
137091449.0,old_ref,64,tag
137091449.0,ref,64A,tag
137093877.0,highway,turning_circle,tag
137100361.0,highway,motorway_junction,tag
137100361.0,old_ref,57,tag
137100361.0,ref,19,tag
137100372.0,highway,traffic_signals,tag
137100372.0,traffic_signals,signal,tag
137100388.0,highway,traffic_signals,tag
137100388.0,traffic_signals,signal,tag
137106147.0,highway,traffic_signals,tag
137106481.0,highway,traffic_signals,tag
137106481.0,traffic_signals,signal,tag
137109177.0,highway,turning_circle,tag
137114728.0,noexit,yes,tag
137115965.0,noexit,yes,tag
137123545.0,highway,motorway_junction,tag
137123545.0,old_ref,59,tag
137123545.0,ref,20,tag
137131845.0,power,tower,tag
137131850.0,power,pole,tag
137131853.0,power,pole,tag
137131858.0,power,tower,tag
137134718.0,highway,motorway_junction,tag
137134718.0,ref,3,tag
137134729.0,highway,traffic_signals,tag
137145885.0,highway,turning_circle,tag
137145895.0,highway,turning_circle,tag
137147010.0,highway,turning_circle,tag
137153217.0,highway,turning_circle,tag
137155436.0,power,tower,tag
137155442.0,power,tower,tag
137155444.0,power,tower,tag
137155447.0,power,tower,tag
137155453.0,power,tower,tag
137155459.0,power,tower,tag
137155461.0,power,tower,tag
137165747.0,power,tower,tag
137165749.0,power,tower,tag
137165750.0,power,tower,tag
137165754.0,power,tower,tag
137165762.0,power,tower,tag
137165766.0,power,tower,tag
137165768.0,power,tower,tag
137165770.0,power,tower,tag
137165772.0,power,tower,tag
137166780.0,power,tower,tag
137166783.0,power,tower,tag
137166785.0,power,tower,tag
137166787.0,power,tower,tag
137166792.0,power,tower,tag
137171543.0,power,tower,tag
137171545.0,power,tower,tag
137172837.0,power,tower,tag
137176754.0,highway,turning_circle,tag
137176794.0,highway,turning_circle,tag
137184746.0,highway,crossing,tag
137186277.0,highway,turning_circle,tag
137186313.0,highway,turning_circle,tag
137194688.0,highway,turning_circle,tag
137205822.0,highway,crossing,tag
137217954.0,highway,turning_circle,tag
137222571.0,highway,turning_circle,tag
137223470.0,highway,turning_circle,tag
137223524.0,noexit,yes,tag
137223868.0,highway,turning_circle,tag
137223896.0,highway,turning_circle,tag
137224882.0,highway,turning_circle,tag
137225024.0,highway,crossing,tag
137225027.0,highway,traffic_signals,tag
137225027.0,traffic_signals,signal,tag
137225037.0,highway,turning_circle,tag
137225037.0,noexit,yes,tag
137225385.0,highway,turning_circle,tag
137225400.0,highway,turning_circle,tag
137225400.0,source,Yahoo,tag
137227175.0,highway,turning_circle,tag
137228114.0,highway,turning_circle,tag
137228792.0,highway,turning_circle,tag
137228883.0,highway,turning_circle,tag
137228942.0,highway,turning_circle,tag
137228942.0,source,Bing,tag
137228977.0,highway,turning_circle,tag
137229228.0,highway,turning_circle,tag
137229578.0,highway,turning_circle,tag
137230178.0,highway,turning_circle,tag
137230282.0,highway,turning_circle,tag
137230282.0,source,Yahoo,tag
137230478.0,highway,turning_circle,tag
137230481.0,highway,turning_circle,tag
137230508.0,highway,turning_circle,tag
137230559.0,highway,turning_circle,tag
137230585.0,highway,turning_circle,tag
137230711.0,highway,turning_circle,tag
137230915.0,highway,turning_circle,tag
137230933.0,highway,turning_circle,tag
137231211.0,highway,turning_circle,tag
137231982.0,highway,turning_circle,tag
137232949.0,highway,turning_circle,tag
137233121.0,highway,turning_circle,tag
137233140.0,highway,turning_circle,tag
137233718.0,highway,turning_circle,tag
137233718.0,source,Yahoo,tag
137235349.0,highway,crossing,tag
137236268.0,highway,turning_circle,tag
137236411.0,highway,turning_circle,tag
137236568.0,highway,turning_circle,tag
137236834.0,highway,turning_circle,tag
137237434.0,highway,turning_circle,tag
137237484.0,highway,turning_circle,tag
137237574.0,highway,turning_circle,tag
137238976.0,highway,turning_circle,tag
137239009.0,highway,turning_circle,tag
137239122.0,highway,turning_circle,tag
137239134.0,highway,turning_circle,tag
137239462.0,highway,turning_circle,tag
137239462.0,source,bing,tag
137240267.0,highway,turning_circle,tag
137240639.0,highway,turning_circle,tag
137240832.0,highway,turning_circle,tag
137240903.0,highway,turning_circle,tag
137240903.0,source,Bing,tag
137241288.0,highway,turning_circle,tag
137241397.0,highway,turning_circle,tag
137241615.0,highway,turning_circle,tag
137241882.0,highway,turning_circle,tag
137242082.0,highway,turning_circle,tag
137242524.0,highway,turning_circle,tag
137243480.0,highway,turning_circle,tag
137243480.0,source,Yahoo,tag
137243666.0,highway,turning_circle,tag
137244041.0,highway,turning_circle,tag
137244057.0,highway,turning_circle,tag
137244290.0,highway,turning_circle,tag
137245499.0,highway,turning_circle,tag
137245506.0,highway,turning_circle,tag
137246530.0,highway,turning_circle,tag
137248517.0,highway,turning_circle,tag
137248815.0,highway,turning_circle,tag
137250289.0,highway,turning_circle,tag
137250707.0,highway,turning_circle,tag
137251986.0,highway,turning_circle,tag
137253859.0,highway,turning_circle,tag
137254240.0,highway,turning_circle,tag
137254284.0,highway,turning_circle,tag
137254340.0,highway,turning_circle,tag
137254516.0,highway,turning_circle,tag
137254530.0,highway,turning_circle,tag
137254530.0,source,Yahoo,tag
137254630.0,highway,turning_circle,tag
137255563.0,highway,turning_circle,tag
137255578.0,highway,turning_circle,tag
137256146.0,highway,turning_circle,tag
137256561.0,highway,turning_circle,tag
137256576.0,highway,turning_circle,tag
137257377.0,highway,turning_circle,tag
137257496.0,highway,turning_circle,tag
137257518.0,highway,turning_circle,tag
137257898.0,highway,turning_circle,tag
137258585.0,highway,turning_circle,tag
137258669.0,highway,turning_circle,tag
137258675.0,highway,turning_circle,tag
137258792.0,highway,turning_circle,tag
137258934.0,highway,turning_circle,tag
137258934.0,source,Bing,tag
137259176.0,highway,turning_circle,tag
137259184.0,highway,turning_circle,tag
137259219.0,highway,turning_circle,tag
137259262.0,highway,turning_circle,tag
137259368.0,highway,turning_circle,tag
137259721.0,highway,turning_circle,tag
137259769.0,highway,turning_circle,tag
137260418.0,highway,turning_circle,tag
137260646.0,highway,turning_circle,tag
137262597.0,highway,turning_circle,tag
137262787.0,highway,crossing,tag
137262800.0,highway,turning_circle,tag
137262806.0,highway,turning_circle,tag
137263001.0,highway,turning_circle,tag
137263013.0,highway,turning_circle,tag
137263108.0,highway,turning_circle,tag
137263362.0,highway,turning_circle,tag
137263362.0,source,Yahoo,tag
137263402.0,highway,turning_circle,tag
137264448.0,highway,turning_circle,tag
137264448.0,source,Bing,tag
137265762.0,highway,turning_circle,tag
137265891.0,highway,turning_circle,tag
137265891.0,source,Bing,tag
137266103.0,highway,turning_circle,tag
137266133.0,highway,turning_circle,tag
137266722.0,highway,turning_circle,tag
137267238.0,highway,turning_circle,tag
137267489.0,highway,turning_circle,tag
137267627.0,highway,turning_circle,tag
137267629.0,highway,turning_circle,tag
137268084.0,highway,turning_circle,tag
137268084.0,source,Yahoo,tag
137268093.0,highway,turning_circle,tag
137268394.0,highway,turning_circle,tag
137268394.0,source,Bing,tag
137268398.0,highway,turning_circle,tag
137269145.0,highway,turning_circle,tag
137269145.0,source,Yahoo,tag
137270500.0,highway,turning_circle,tag
137270679.0,highway,turning_circle,tag
137270775.0,highway,turning_circle,tag
137270775.0,source,Yahoo,tag
137270850.0,highway,turning_circle,tag
137270863.0,highway,turning_circle,tag
137271447.0,highway,turning_circle,tag
137271630.0,highway,turning_circle,tag
137271888.0,highway,turning_circle,tag
137272033.0,highway,turning_circle,tag
137272086.0,highway,turning_circle,tag
137272460.0,highway,turning_circle,tag
137272460.0,source,Yahoo,tag
137272543.0,highway,turning_circle,tag
137272545.0,highway,turning_circle,tag
137272741.0,highway,turning_circle,tag
137272761.0,highway,turning_circle,tag
137272761.0,source,Yahoo,tag
137272888.0,highway,turning_circle,tag
137273959.0,highway,turning_circle,tag
137274083.0,highway,turning_circle,tag
137274086.0,highway,turning_circle,tag
137275005.0,highway,turning_circle,tag
137275500.0,highway,turning_circle,tag
137275509.0,highway,turning_circle,tag
137275623.0,highway,turning_circle,tag
137276518.0,highway,turning_circle,tag
137276691.0,highway,turning_circle,tag
137278168.0,highway,turning_circle,tag
137279039.0,highway,turning_circle,tag
137279564.0,highway,turning_circle,tag
137280192.0,highway,turning_circle,tag
137280390.0,highway,turning_circle,tag
137280670.0,highway,turning_circle,tag
137280682.0,highway,turning_circle,tag
137280741.0,highway,turning_circle,tag
137280801.0,highway,turning_circle,tag
137281056.0,highway,turning_circle,tag
137282017.0,highway,turning_circle,tag
137282144.0,highway,turning_circle,tag
137282258.0,highway,turning_circle,tag
137282258.0,source,Bing,tag
137282347.0,noexit,yes,tag
137282468.0,highway,turning_circle,tag
137283029.0,highway,turning_circle,tag
137284155.0,highway,turning_circle,tag
137284160.0,highway,turning_circle,tag
137284758.0,highway,turning_circle,tag
137284758.0,source,Bing,tag
137286043.0,highway,turning_circle,tag
137286052.0,highway,turning_circle,tag
137286358.0,highway,turning_circle,tag
137286461.0,highway,turning_circle,tag
137286970.0,highway,turning_circle,tag
137287632.0,highway,turning_circle,tag
137287685.0,highway,turning_circle,tag
137288273.0,highway,turning_circle,tag
137288273.0,source,Yahoo,tag
137289193.0,highway,turning_circle,tag
137289250.0,highway,turning_circle,tag
137289663.0,highway,turning_circle,tag
137289854.0,highway,turning_circle,tag
137289989.0,highway,turning_circle,tag
137289989.0,source,Bing,tag
137290569.0,highway,turning_circle,tag
137290569.0,source,Yahoo,tag
137290745.0,highway,turning_circle,tag
137291461.0,highway,turning_circle,tag
137291467.0,highway,turning_circle,tag
137291750.0,highway,turning_circle,tag
137292509.0,highway,turning_circle,tag
137292586.0,highway,turning_circle,tag
137292864.0,highway,turning_circle,tag
137293143.0,highway,turning_circle,tag
137293266.0,highway,turning_circle,tag
137293615.0,highway,turning_circle,tag
137294323.0,highway,turning_circle,tag
137294780.0,highway,traffic_signals,tag
137294780.0,traffic_signals,signal,tag
137294834.0,highway,traffic_signals,tag
137294844.0,highway,traffic_signals,tag
137295022.0,highway,turning_circle,tag
137295514.0,highway,turning_circle,tag
137295514.0,source,Bing,tag
137296080.0,highway,turning_circle,tag
137296677.0,highway,turning_circle,tag
137297121.0,highway,turning_circle,tag
137297124.0,highway,turning_circle,tag
137297303.0,highway,turning_circle,tag
137297303.0,source,Bing,tag
137297532.0,highway,turning_circle,tag
137297785.0,highway,turning_circle,tag
137297855.0,highway,turning_circle,tag
137298040.0,highway,turning_circle,tag
137299410.0,highway,turning_circle,tag
137299625.0,highway,turning_circle,tag
137299688.0,highway,turning_circle,tag
137300231.0,highway,turning_circle,tag
137300311.0,highway,turning_circle,tag
137300311.0,source,Bing,tag
137300532.0,highway,turning_circle,tag
137301061.0,highway,turning_circle,tag
137301061.0,source,Bing,tag
137301360.0,highway,turning_circle,tag
137301464.0,highway,turning_circle,tag
137301781.0,highway,turning_circle,tag
137302141.0,highway,turning_circle,tag
137303040.0,highway,turning_circle,tag
137303405.0,highway,turning_circle,tag
137303468.0,highway,turning_circle,tag
137303468.0,source,Bing,tag
137303595.0,highway,turning_circle,tag
137303911.0,highway,turning_circle,tag
137303950.0,highway,turning_circle,tag
137304529.0,highway,turning_circle,tag
137305505.0,highway,turning_circle,tag
137305630.0,highway,turning_circle,tag
137305644.0,highway,turning_circle,tag
137305980.0,highway,turning_circle,tag
137306397.0,highway,turning_circle,tag
137306435.0,highway,turning_circle,tag
137306435.0,source,Bing,tag
137307274.0,highway,turning_circle,tag
137307778.0,highway,turning_circle,tag
137308037.0,highway,turning_circle,tag
137308213.0,highway,turning_circle,tag
137308213.0,source,Yahoo,tag
137308287.0,highway,turning_circle,tag
137308774.0,highway,crossing,tag
137308852.0,highway,turning_circle,tag
137308855.0,highway,turning_circle,tag
137309250.0,highway,turning_circle,tag
137309250.0,source,Yahoo,tag
137309481.0,noexit,yes,tag
137309630.0,highway,turning_circle,tag
137309638.0,highway,turning_circle,tag
137310675.0,highway,turning_circle,tag
137311004.0,highway,turning_circle,tag
