id,k,v,type
14278359.0,highway,residential,tag
14278359.0,name,Rue De Parc,tag
14278359.0,tiger:cfcc,A41,tag
14278359.0,tiger:county,"Clark, NV",tag
14278359.0,tiger:name_base,Rue de Parc,tag
14278359.0,tiger:reviewed,False,tag
14278368.0,access,private,tag
14278368.0,highway,residential,tag
14278368.0,name,Catalina Marie Avenue,tag
14278368.0,tiger:cfcc,A41,tag
14278368.0,tiger:county,"Clark, NV",tag
14278368.0,tiger:name_base,Catalina Marie,tag
14278368.0,tiger:name_type,Ave,tag
14278368.0,tiger:reviewed,False,tag
14278402.0,highway,residential,tag
14278402.0,name,Tungsten Street,tag
14278402.0,tiger:cfcc,A41,tag
14278402.0,tiger:county,"Clark, NV",tag
14278402.0,tiger:name_base,Tungsten,tag
14278402.0,tiger:name_type,St,tag
14278402.0,tiger:reviewed,False,tag
14278416.0,highway,residential,tag
14278416.0,name,Katzenbach Drive,tag
14278416.0,source,bing_imagery_0.25m_201105,tag
14278416.0,tiger:cfcc,A41,tag
14278416.0,tiger:county,"Clark, NV",tag
14278416.0,tiger:name_base,Katzenbach,tag
14278416.0,tiger:name_type,Dr,tag
14278432.0,highway,residential,tag
14278432.0,name,Anne Lane,tag
14278432.0,tiger:cfcc,A41,tag
14278432.0,tiger:county,"Clark, NV",tag
14278432.0,tiger:name_base,Anne,tag
14278432.0,tiger:name_type,Ln,tag
14278432.0,tiger:reviewed,False,tag
14278595.0,highway,track,tag
14278595.0,surface,ground,tag
14278595.0,tiger:cfcc,A41,tag
14278595.0,tiger:county,"Clark, NV",tag
14278595.0,tiger:reviewed,False,tag
14278595.0,tracktype,grade4,tag
14278802.0,electrified,False,tag
14278802.0,gauge,1435,tag
14278802.0,operator,Union Pacific Railroad,tag
14278802.0,railway,rail,tag
14278802.0,service,spur,tag
14278802.0,tiger:cfcc,B11,tag
14278802.0,tiger:county,"Clark, NV",tag
14279075.0,highway,service,tag
14279075.0,review,False,tag
14279075.0,service,driveway,tag
14279075.0,source,Bing,tag
14279357.0,bicycle,False,tag
14279357.0,destination,Horizon Drive,tag
14279357.0,highway,motorway_link,tag
14279357.0,lanes,1,tag
14279357.0,oneway,True,tag
14279357.0,surface,asphalt,tag
14279386.0,highway,residential,tag
14279386.0,name,Tabony Avenue,tag
14279386.0,tiger:cfcc,A41,tag
14279386.0,tiger:county,"Clark, NV",tag
14279386.0,tiger:reviewed,False,tag
14279652.0,bicycle,False,tag
14279652.0,destination,Pecos Road,tag
14279652.0,destination:ref,NV 146 West,tag
14279652.0,highway,motorway_link,tag
14279652.0,lanes,1,tag
14279652.0,oneway,True,tag
14279652.0,surface,asphalt,tag
14279787.0,highway,residential,tag
